User,H.char1,H.char2,H.char3,H.char4,H.char5,H.char6,H.char7,H.char8,H.char9,DD.char1.char2,UD.char1.char2,DD.char2.char3,UD.char2.char3,DD.char3.char4,UD.char3.char4,DD.char4.char5,UD.char4.char5,DD.char5.char6,UD.char5.char6,DD.char6.char7,UD.char6.char7,DD.char7.char8,UD.char7.char8,DD.char8.char9,UD.char8.char9
satvik,0.0584,0.0636,0.0664,0.0572,0.0585,0.0947,0.067,0.1052,0.0581,0.1938,0.1353,0.3467,0.2831,1.1422,1.0758,0.4321,0.375,0.5376,0.4791,0.4548,0.3601,0.4205,0.3535,0.2227,0.1176
satvik,0.0993,0.0962,0.0863,0.0877,0.0697,0.0914,0.0636,0.0858,0.0625,0.2542,0.155,0.3043,0.2081,0.7752,0.6889,1.1912,1.1035,0.4974,0.4277,0.3097,0.2184,0.3955,0.3319,0.1765,0.0907
satvik,0.1264,0.0831,0.0612,0.0892,0.0596,0.0908,0.097,0.1467,0.1408,0.2515,0.1251,0.272,0.1889,0.8913,0.8301,0.5276,0.4383,1.838,1.7783,0.4405,0.3497,0.3493,0.2523,0.1055,-0.0412
satvik,0.1292,0.1164,0.085,0.0921,0.1061,0.0889,0.0908,0.1189,0.0756,0.3172,0.1881,0.3492,0.2327,0.9093,0.8243,0.4846,0.3925,0.1849,0.0788,0.3495,0.2607,0.3185,0.2278,0.2545,0.1356
satvik,0.1006,0.0934,0.085,0.0615,0.062,0.0801,0.0914,0.0973,0.0657,0.2413,0.1407,0.3001,0.2067,1.03,0.945,0.4158,0.3543,0.7665,0.7045,0.2957,0.2157,0.3998,0.3085,0.2184,0.121
satvik,0.0863,0.0876,0.0524,0.0824,0.0921,0.0661,0.0886,0.0838,0.0726,0.2577,0.1714,0.2557,0.1681,0.5607,0.5084,0.5153,0.4329,0.5107,0.4186,0.2694,0.2033,0.3623,0.2737,0.2001,0.1163
satvik,0.0818,0.0837,0.0669,0.0553,0.0662,0.0666,0.097,0.0604,0.0431,0.2488,0.167,0.3125,0.2288,1.1383,1.0714,0.6264,0.5712,0.443,0.3768,0.2876,0.221,0.4216,0.3246,0.2025,0.1421
satvik,0.1091,0.0895,0.0689,0.0897,0.0656,0.0694,0.0903,0.0626,0.0721,0.2638,0.1547,0.313,0.2235,0.803,0.7341,0.4397,0.35,0.4887,0.4231,0.3229,0.2534,0.4377,0.3475,0.1887,0.1261
satvik,0.0817328303449531,0.0833778546624651,0.0672200667511273,0.0558175760764732,0.0666799077649034,0.0664071282447538,0.0968225220609055,0.0606453517115933,0.0434302402473761,0.2510006568690938,0.1683254554705426,0.3141260048059301,0.2305853686084264,1.1426628427731655,1.0630826658749395,0.6278696820725906,0.5658398477515405,0.4386328713510395,0.377863253717987,0.2851746350573741,0.220386606135839,0.4209390488967826,0.3246640846902207,0.2018839222769246,0.1409018074147539
satvik,0.1002397188407988,0.0939672501436223,0.0854400759024712,0.0609016726443769,0.0616494885087945,0.0808687747063603,0.0906314684822413,0.0968102012848849,0.0650722502172632,0.2399391290170715,0.1395377267810125,0.3010094545159725,0.2073096334360512,1.0383403653386616,0.9465360054680868,0.4124770581983226,0.3516310451808414,0.7653099993704869,0.7021908128913982,0.2942093037102605,0.2156110691684195,0.3969827867641785,0.3083196173966668,0.2201667079799245,0.1217467558662459
satvik,0.1009477495832937,0.0940524082355626,0.0846113068972199,0.0612257566523374,0.062138970859771,0.0807012713732979,0.0913696940468917,0.0972917957797925,0.0644387811554829,0.2410688017720382,0.1388677505491179,0.2998082852045191,0.2082163475778448,1.0454334682319684,0.9504073774415104,0.4149136700267636,0.3521469903913585,0.7600167510556083,0.6967873748060209,0.2919044913572742,0.2151068700597239,0.3950356616498425,0.3061710961428302,0.2192822379761692,0.1216368305091041
satvik,0.0996961166215907,0.0943431737006714,0.085512878486417,0.060568767507506,0.0613456309180863,0.0801389273108002,0.0914192530454733,0.0975613063609266,0.06456203341346,0.2388371694124933,0.1388989050975481,0.2983486773878917,0.2056328358958767,1.036811405411893,0.9424960066489932,0.4134776847876586,0.3535830950383473,0.7607132378612366,0.7089558166006972,0.2923690484795025,0.215327301535201,0.3954115705274609,0.3062731114090172,0.2180119402211363,0.1224108857168226
satvik,0.100424090695521,0.0934168083016735,0.0858240281026973,0.0610330314750633,0.0612209600574871,0.0816023226133588,0.0912541291524269,0.0970266589502993,0.0645857655885596,0.2388993000162111,0.1385345363261249,0.2996282322170376,0.207053782609015,1.0362523682138924,0.9459348743896518,0.4150018628467881,0.3482312445366744,0.7579153134248141,0.6980879951566534,0.2960894467261838,0.216815234724203,0.3972115360255064,0.309608246993859,0.2200406882964725,0.122520818008922
satvik,0.058822977359358,0.0641590318490185,0.0657605582729511,0.0576200042240892,0.0589541724101835,0.095528655349487,0.0670401472908001,0.1053172685169927,0.0582920510108038,0.1944282248066993,0.1355213980949627,0.3496678701575145,0.2816714158326892,1.1475472479950743,1.0711268815799904,0.4304556422527209,0.3724461650592116,0.5343348228482094,0.4775022205263275,0.4537879006128054,0.3578409159337368,0.421093358143121,0.3541208244337617,0.2221720855723922,0.118000635350985
